Date,GHI
2019-11-27 00:00:00,4.909691667
2019-11-28 00:00:00,5.075216667
2019-11-29 00:00:00,5.35635
2019-11-30 00:00:00,4.935858333
2019-12-01 00:00:00,5.164416667
2019-12-02 00:00:00,4.657616667
2019-12-03 00:00:00,3.829925
2019-12-04 00:00:00,4.460291667
2019-12-05 00:00:00,4.068883333
2019-12-06 00:00:00,5.344333333
2019-12-07 00:00:00,4.428558333
2019-12-08 00:00:00,5.077075
2019-12-09 00:00:00,5.0002
2019-12-10 00:00:00,4.376766667
2019-12-11 00:00:00,5.168558333
2019-12-12 00:00:00,4.644183333
2019-12-13 00:00:00,4.143758333
2019-12-14 00:00:00,4.925783333
2019-12-15 00:00:00,5.208358333
2019-12-16 00:00:00,4.99965
2019-12-17 00:00:00,4.757833333
2019-12-18 00:00:00,4.156325
2019-12-19 00:00:00,3.243291667
2019-12-20 00:00:00,4.259316667
2019-12-21 00:00:00,4.399291667
2019-12-22 00:00:00,4.312083333
2019-12-23 00:00:00,4.073933333
2019-12-24 00:00:00,3.98975
2019-12-25 00:00:00,4.621975
2019-12-26 00:00:00,3.447866667
2019-12-27 00:00:00,4.633091667
2019-12-28 00:00:00,4.370766667
2019-12-29 00:00:00,4.674466667
2019-12-30 00:00:00,3.726258333
2019-12-31 00:00:00,4.288491667
2020-01-01 00:00:00,5.07465
2020-01-02 00:00:00,4.731758333
2020-01-03 00:00:00,4.44045
2020-01-04 00:00:00,3.618475
2020-01-05 00:00:00,4.872125
2020-01-06 00:00:00,4.023158333
2020-01-07 00:00:00,4.219875
2020-01-08 00:00:00,3.9045
2020-01-09 00:00:00,4.863875
2020-01-10 00:00:00,4.460858333
2020-01-11 00:00:00,3.445625
2020-01-12 00:00:00,2.95095
2020-01-13 00:00:00,4.940891667
2020-01-14 00:00:00,5.287825
2020-01-15 00:00:00,5.303925
2020-01-16 00:00:00,4.468491667
2020-01-17 00:00:00,4.801725
2020-01-18 00:00:00,3.778675
2020-01-19 00:00:00,4.791725
2020-01-20 00:00:00,5.269483333
2020-01-21 00:00:00,4.84485
2020-01-22 00:00:00,4.168266667
2020-01-23 00:00:00,4.586733333
2020-01-24 00:00:00,5.462783333
2020-01-25 00:00:00,5.043483333
2020-01-26 00:00:00,5.185541667
2020-01-27 00:00:00,4.759466667
2020-01-28 00:00:00,5.548808333
2020-01-29 00:00:00,4.882208333
2020-01-30 00:00:00,4.496141667
2020-01-31 00:00:00,4.346266667
2020-02-01 00:00:00,3.808933333
2020-02-02 00:00:00,4.807375
2020-02-03 00:00:00,5.049441667
2020-02-04 00:00:00,4.772808333
2020-02-05 00:00:00,5.172516667
2020-02-06 00:00:00,4.62125
2020-02-07 00:00:00,5.256708333
